PS_manual_aug_str,SD
c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.O.CCOC(=O)C,6.15
O.c1ccccc1.CCC.c1ccccc1.O.O=C1NC(=O)c2ccccc21.Cc1ccccc1.CN1C(=O)c2ccccc2C1=O.CCOC(=O)C,6.15
CCC.CC[Si](C)(C)C.CCC(=O)C,18.07
CC[Si](C)(C)C.CCC.CCC(=O)C,18.07
C[Si](C)C.CO.CCC(=O)C,21.08
CO.C[Si](C)C.CCC(=O)C,21.08
CNCCCCCCCCCCCC=O.CCCCCOCCCCOCCCCCO.CCC(=O)C,19.32
CCCCCOCCCCOCCCCCO.CNCCCCCCCCCCCC=O.CCC(=O)C,19.32
CO.c1ccccc1.O=S=O.Cc1ccccc1.CCC(=O)C,11.79
Cc1ccccc1.CO.c1ccccc1.O=S=O.CCC(=O)C,11.79
O=S=O.Cc1ccccc1.CO.c1ccccc1.CCC(=O)C,11.79
c1ccccc1.O=S=O.Cc1ccccc1.CO.CCC(=O)C,11.79
O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.CCC(=O)C,5.43
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.CCC(=O)C,5.43
C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.CCC(=O)C,5.43
c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.CCC(=O)C,5.43
Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CN1C(=O)c2ccccc2C1=O.CCC(=O)C,5.43
CN1C(=O)c2ccccc2C1=O.Cc1ccccc1.c1ccccc1.C.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CCC(=O)C,5.43
