"PS_manual_aug_str,Contact_angle,Thickness_um,Solvent,Solvent_solubility_parameter_Mpa_sqrt,xw_wt_percent,Temp_C,Permeate_pressure_mbar",J_Total_flux_kg_m_2h_1
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|10.0|25|1.0|,0.046
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|15.0|25|1.0|,0.0576
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,0.0577
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,0.0577
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,0.0577
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,0.0577
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|80|1.0|,0.0577
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,0.0596
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,0.0596
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,0.0596
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,0.0596
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCCCO|82.0|24.24|n-butanol|23.1|10.0|60|1.0|,0.0596
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|82.0|24.24|ethanol|26.5|15.0|25|1.0|,0.0836
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CC(C)O|82.0|24.24|ipa|23.5|10.0|80|1.0|,0.1346
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|84.0|24.11|ethanol|26.5|15.0|25|1.0|,0.0801
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|90.0|23.35|ethanol|26.5|15.0|25|1.0|,0.0622
c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,0.0486
c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,0.0486
c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.c1ccccc1.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,0.0486
c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.FC(F)(F)CC(F)(F)F.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,0.0486
FC(F)(F)CC(F)(F)F.c1ccccc1.c1ccc2ocnc2c1.c1ccc2ocnc2c1.c1ccccc1.CCO|91.0|18.23|ethanol|26.5|15.0|25|1.0|,0.0486
Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.C=O.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.O=C1NC(=O)c2ccccc21.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
O=C1NC(=O)c2ccccc21.C=O.O=C1NC(=O)c2ccccc21.c1ccccc1.C.c1ccccc1.Cc1ccccc1.CC(C)O|82.3|39.0|ipa|23.5|15.0|60|5.0|,0.0136
