"Polymer_manual_aug_str,T_K,P_Mpa",exp_CO2_sol_g_g
C.CO.C.C.C.C.O.C=O.C.C.C=O|353.15|8.05|,0.05601
C=O.C.CO.C.C.C.C.O.C=O.C.C|353.15|8.05|,0.05601
C.C=O.C.CO.C.C.C.C.O.C=O.C|353.15|8.05|,0.05601
C.C.C=O.C.CO.C.C.C.C.O.C=O|353.15|8.05|,0.05601
C=O.C.C.C=O.C.CO.C.C.C.C.O|353.15|8.05|,0.05601
O.C=O.C.C.C=O.C.CO.C.C.C.C|353.15|8.05|,0.05601
C.O.C=O.C.C.C=O.C.CO.C.C.C|353.15|8.05|,0.05601
C.C.O.C=O.C.C.C=O.C.CO.C.C|353.15|8.05|,0.05601
C.C.C.O.C=O.C.C.C=O.C.CO.C|353.15|8.05|,0.05601
C.C.C.C.O.C=O.C.C.C=O.C.CO|353.15|8.05|,0.05601
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|8.076|,0.07357
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|8.076|,0.07357
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|8.076|,0.07357
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|8.076|,0.07357
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|8.076|,0.07357
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|8.076|,0.07357
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|8.076|,0.07357
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|8.076|,0.07357
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|8.076|,0.07357
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|8.076|,0.07357
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|8.076|,0.07357
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|8.928|,0.0813
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|8.928|,0.0813
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|8.928|,0.0813
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|8.928|,0.0813
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|8.928|,0.0813
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|8.928|,0.0813
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|8.928|,0.0813
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|8.928|,0.0813
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|8.928|,0.0813
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|8.928|,0.0813
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|8.928|,0.0813
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|12.076|,0.1098
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|12.076|,0.1098
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|12.076|,0.1098
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|12.076|,0.1098
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|12.076|,0.1098
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|12.076|,0.1098
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|12.076|,0.1098
C.O.C=O.C.C.C=O.C.CO.C.C.C|393.15|12.076|,0.1098
C.C.O.C=O.C.C.C=O.C.CO.C.C|393.15|12.076|,0.1098
C.C.C.O.C=O.C.C.C=O.C.CO.C|393.15|12.076|,0.1098
C.C.C.C.O.C=O.C.C.C=O.C.CO|393.15|12.076|,0.1098
CO.C.C.C.C.O.C=O.C.C.C=O.C|393.15|12.606|,0.1146
C.CO.C.C.C.C.O.C=O.C.C.C=O|393.15|12.606|,0.1146
C=O.C.CO.C.C.C.C.O.C=O.C.C|393.15|12.606|,0.1146
C.C=O.C.CO.C.C.C.C.O.C=O.C|393.15|12.606|,0.1146
C.C.C=O.C.CO.C.C.C.C.O.C=O|393.15|12.606|,0.1146
C=O.C.C.C=O.C.CO.C.C.C.C.O|393.15|12.606|,0.1146
O.C=O.C.C.C=O.C.CO.C.C.C.C|393.15|12.606|,0.1146
