"Augmented_SMILES,T_K,P_Mpa",exp_CO2_sol_g_g
C(COC(CCC(C)=O)=O)CCOC(CCCCC(OCCCCOC)=O)=O|423.15|4.118|,0.02863
C(OC)CCCOC(=O)CCCCC(=O)OCCCCOC(=O)CCC(=O)C|423.15|4.118|,0.02863
O(C(CCCCC(OCCCCOC(=O)CCC(C)=O)=O)=O)CCCCOC|423.15|4.118|,0.02863
C(=O)(C)CCC(=O)OCCCCOC(=O)CCCCC(OCCCCOC)=O|423.15|4.118|,0.02863
C(CC(=O)OCCCCOC)CCC(OCCCCOC(CCC(=O)C)=O)=O|423.15|4.684|,0.03263
C(CCOC(CCC(=O)C)=O)COC(=O)CCCCC(=O)OCCCCOC|423.15|4.684|,0.03263
O=C(OCCCCOC(CCCCC(OCCCCOC)=O)=O)CCC(=O)C|423.15|4.684|,0.03263
C(OC(=O)CCCCC(=O)OCCCCOC)CCCOC(=O)CCC(=O)C|423.15|4.684|,0.03263
C(CCC(OCCCCOC)=O)CC(=O)OCCCCOC(=O)CCC(=O)C|423.15|4.684|,0.03263
C(C(=O)OCCCCOC)CCCC(OCCCCOC(CCC(=O)C)=O)=O|423.15|6.098|,0.04264
C(CCCC(OCCCCOC)=O)C(=O)OCCCCOC(=O)CCC(=O)C|423.15|6.098|,0.04264
O(CCCCOC(CCC(C)=O)=O)C(=O)CCCCC(=O)OCCCCOC|423.15|6.098|,0.04264
C(OC)CCCOC(CCCCC(=O)OCCCCOC(CCC(=O)C)=O)=O|423.15|6.098|,0.04264
O=C(C)CCC(=O)OCCCCOC(=O)CCCCC(OCCCCOC)=O|423.15|6.098|,0.04264
C(CCCC(=O)OCCCCOC)C(=O)OCCCCOC(=O)CCC(=O)C|423.15|8.177|,0.05749
O=C(OCCCCOC(CCC(=O)C)=O)CCCCC(OCCCCOC)=O|423.15|8.177|,0.05749
C(CCC(=O)C)(=O)OCCCCOC(CCCCC(OCCCCOC)=O)=O|423.15|8.177|,0.05749
C(CCC(=O)OCCCCOC)CC(=O)OCCCCOC(=O)CCC(=O)C|423.15|8.177|,0.05749
C(CC(=O)OCCCCOC(CCCCC(OCCCCOC)=O)=O)C(=O)C|423.15|8.177|,0.05749
C(=O)(OCCCCOC)CCCCC(OCCCCOC(CCC(C)=O)=O)=O|423.15|8.699|,0.06117
C(OC(CCCCC(=O)OCCCCOC)=O)CCCOC(CCC(=O)C)=O|423.15|8.699|,0.06117
C(CCC(OCCCCOC(=O)CCCCC(OCCCCOC)=O)=O)(C)=O|423.15|8.699|,0.06117
C(OC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)CCCOC|423.15|8.699|,0.06117
C(CCCC(=O)OCCCCOC(CCC(=O)C)=O)C(OCCCCOC)=O|423.15|8.699|,0.06117
C(=O)(CCCCC(OCCCCOC(CCC(=O)C)=O)=O)OCCCCOC|423.15|12.314|,0.08649
C(OCCCCOC)(=O)CCCCC(=O)OCCCCOC(CCC(C)=O)=O|423.15|12.314|,0.08649
O(CCCCOC(CCCCC(=O)OCCCCOC(=O)CCC(=O)C)=O)C|423.15|12.314|,0.08649
O=C(CCCCC(OCCCCOC(CCC(=O)C)=O)=O)OCCCCOC|423.15|12.314|,0.08649
C(CCCOC(CCC(C)=O)=O)OC(=O)CCCCC(=O)OCCCCOC|423.15|12.314|,0.08649
C(CCOC)COC(CCCCC(OCCCCOC(=O)CCC(C)=O)=O)=O|423.15|16.027|,0.1115
O=C(C)CCC(=O)OCCCCOC(=O)CCCCC(OCCCCOC)=O|423.15|16.027|,0.1115
C(=O)(OCCCCOC)CCCCC(OCCCCOC(CCC(=O)C)=O)=O|423.15|16.027|,0.1115
C(OC(=O)CCCCC(=O)OCCCCOC)CCCOC(CCC(C)=O)=O|423.15|16.027|,0.1115
O(C(CCCCC(OCCCCOC)=O)=O)CCCCOC(=O)CCC(=O)C|423.15|16.027|,0.1115
C(CCCOC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)OC|423.15|16.572|,0.115
C(CCC(OCCCCOC(CCC(C)=O)=O)=O)CC(OCCCCOC)=O|423.15|16.572|,0.115
O(CCCCOC(CCCCC(OCCCCOC)=O)=O)C(=O)CCC(=O)C|423.15|16.572|,0.115
C(OC(=O)CCCCC(OCCCCOC(CCC(=O)C)=O)=O)CCCOC|423.15|16.572|,0.115
C(C(=O)OCCCCOC(=O)CCC(C)=O)CCCC(=O)OCCCCOC|423.15|16.572|,0.115
C(COC(CCCCC(OCCCCOC(CCC(=O)C)=O)=O)=O)CCOC|453.15|4.126|,0.02357
C(OCCCCOC)(=O)CCCCC(OCCCCOC(CCC(C)=O)=O)=O|453.15|4.126|,0.02357
