Augmented_SMILES,calc_PCE_percent
CCCCCCCCCCCCSSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(C)sc23)s1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,9.545
C(CCCCSSc1sc(cc1)-c1c2cc(C)sc2c(-c2sc(cc2)SSCCCCCCCCCCCC)c2c1sc(c2)-c1sc(-c2c3nn(nc3c(-c3sc(cc3)C)c(F)c2F)CC(CCCCCC)CCCCCCCC)cc1)CCCCCCC.C(=C1\C(c2c(cccc2)C1=C(C#N)C#N)=O)\c1cc2C(c3ccc(CCCCCC)cc3)(c3c4c(sc3-c2s1)c(c1c(c4OCC(CC)CCCC)sc2-c3sc(/C=C4/C(c5ccccc5C4=O)=C(C#N)C#N)cc3C(c3ccc(cc3)CCCCCC)(c12)c1ccc(cc1)CCCCCC)OCC(CC)CCCC)c1ccc(cc1)CCCCCC,9.545
c12c(-c3ccc(SSCCCCCCCCCCCC)s3)c3cc(sc3c(c2cc(s1)C)-c1sc(SSCCCCCCCCCCCC)cc1)-c1sc(cc1)-c1c(c(c(c2c1nn(n2)CC(CCCCCCCC)CCCCCC)-c1ccc(s1)C)F)F.O(CC(CC)CCCC)c1c2sc3c(C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4cc(sc4-3)/C=C3/C(c4ccccc4C3=O)=C(C#N)C#N)c2c(OCC(CCCC)CC)c2c1c1c(-c3sc(cc3C1(c1ccc(CCCCCC)cc1)c1ccc(CCCCCC)cc1)/C=C1\C(=O)c3ccccc3C1=C(C#N)C#N)s2,9.545
C(CCCCC)CCCCCCSSc1sc(-c2c3cc(sc3c(c3cc(C)sc23)-c2sc(SSCCCCCCCCCCCC)cc2)-c2ccc(-c3c4nn(nc4c(c(F)c3F)-c3ccc(C)s3)CC(CCCCCCCC)CCCCCC)s2)cc1.c1(sc2-c3sc4c(c3C(c3ccc(CCCCCC)cc3)(c3ccc(CCCCCC)cc3)c2c1)c(c1sc2c(c1c4OCC(CC)CCCC)C(c1ccc(CCCCCC)cc1)(c1cc(/C=C3/C(c4ccccc4C3=O)=C(C#N)C#N)sc1-2)c1ccc(cc1)CCCCCC)OCC(CCCC)CC)/C=C1\C(=O)c2c(cccc2)C1=C(C#N)C#N,9.545
c1c(-c2sc(cc2)-c2c(c(c(c3c2nn(CC(CCCCCC)CCCCCCCC)n3)-c2ccc(C)s2)F)F)sc2c1c(-c1ccc(SSCCCCCCCCCCCC)s1)c1sc(C)cc1c2-c1ccc(s1)SSCCCCCCCCCCCC.C(C)C(COc1c2c(c(OCC(CC)CCCC)c3c1c1C(c4ccc(CCCCCC)cc4)(c4c(sc(c4)/C=C4\C(c5ccccc5C4=C(C#N)C#N)=O)-c1s3)c1ccc(cc1)CCCCCC)c1c(s2)-c2c(cc(/C=C3/C(=C(C#N)C#N)c4c(C3=O)cccc4)s2)C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)CCCC,9.545
C(C)CCCCCCCCCCSSc1sc(-c2c3cc(sc3c(-c3ccc(s3)SSCCCCCCCCCCCC)c3c2sc(c3)-c2ccc(s2)-c2c3nn(CC(CCCCCC)CCCCCCCC)nc3c(-c3sc(C)cc3)c(c2F)F)C)cc1.CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc(sc2-c2sc3c(OCC(CCCC)CC)c4c5c(-c6sc(/C=C7/C(=C(C#N)C#N)c8c(cccc8)C7=O)cc6C5(c5ccc(cc5)CCCCCC)c5ccc(CCCCCC)cc5)sc4c(OCC(CCCC)CC)c3c21)/C=C1/C(=C(C#N)C#N)c2ccccc2C1=O,9.545
CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sc(C)cc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1.CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3sc4c(OCC(CC)CCCC)c5c6c(sc5c(OCC(CC)CCCC)c4c32)-c2sc(/C=C3\C(=O)c4ccccc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,10.496
C(CC)[Si](CCC)(CCC)c1sc(-c2c3c(c(c4c2cc(s4)C)-c2sc([Si](CCC)(CCC)CCC)cc2)cc(s3)-c2ccc(s2)-c2c3c(c(-c4sc(cc4)C)c(c2F)F)nn(n3)CC(CCCCCC)CCCCCCCC)cc1.C(CC)CC(COc1c2c3c(sc2c(c2c1sc1c2C(c2ccc(cc2)CCCCCC)(c2cc(/C=C4/C(=C(C#N)C#N)c5ccccc5C4=O)sc-12)c1ccc(cc1)CCCCCC)OCC(CC)CCCC)-c1c(cc(s1)/C=C1\C(=O)c2ccccc2C1=C(C#N)C#N)C3(c1ccc(CCCCCC)cc1)c1ccc(cc1)CCCCCC)CC,10.496
c1(sc(-c2c(F)c(c(c3c2nn(CC(CCCCCCCC)CCCCCC)n3)-c2sc(cc2)-c2sc3c(c(-c4sc([Si](CCC)(CCC)CCC)cc4)c4sc(cc4c3-c3ccc(s3)[Si](CCC)(CCC)CCC)C)c2)F)cc1)C.c1ccc2C(=C(C#N)C#N)/C(=C/c3sc4-c5sc6c(c7c8c(-c9c(cc(s9)/C=C9/C(c%10c(cccc%10)C9=O)=C(C#N)C#N)C8(c8ccc(cc8)CCCCCC)c8ccc(CCCCCC)cc8)sc7c(c6c5C(c4c3)(c3ccc(CCCCCC)cc3)c3ccc(cc3)CCCCCC)OCC(CCCC)CC)OCC(CCCC)CC)C(c2c1)=O,10.496
s1c(-c2c3cc(sc3c(c3cc(sc23)-c2ccc(s2)-c2c3nn(nc3c(c(c2F)F)-c2ccc(s2)C)CC(CCCCCCCC)CCCCCC)-c2ccc([Si](CCC)(CCC)CCC)s2)C)ccc1[Si](CCC)(CCC)CCC.c1(ccc(cc1)C1(c2cc(/C=C3\C(=O)c4c(C3=C(C#N)C#N)cccc4)sc2-c2c1c1c(OCC(CC)CCCC)c3c(c(c1s2)OCC(CC)CCCC)c1C(c2ccc(CCCCCC)cc2)(c2c(sc(c2)/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)-c1s3)c1ccc(cc1)CCCCCC)c1ccc(CCCCCC)cc1)CCCCCC,10.496
