Augmented_SMILES,SD
C1(=O)c2c(C(=O)N1C)ccc(C(=O)c1cc3C(N(c4ccc(cc4)C4(C)c5cc(ccc5C(C)(C)C4)C)C(=O)c3cc1)=O)c2.CC(OCC)=O,15.08
c12cc(ccc2C(CC1(c1ccc(N2C(=O)c3c(C2=O)ccc(c3)C(c2ccc3C(N(C)C(c3c2)=O)=O)=O)cc1)C)(C)C)C.CCOC(C)=O,15.08
c1(ccc(cc1)C1(C)c2c(C(C1)(C)C)ccc(C)c2)N1C(=O)c2c(ccc(C(=O)c3cc4c(cc3)C(N(C)C4=O)=O)c2)C1=O.CC(=O)OCC,15.08
N1(C(=O)c2ccc(cc2C1=O)C(c1cc2C(=O)N(c3ccc(C4(C)CC(C)(c5ccc(C)cc54)C)cc3)C(c2cc1)=O)=O)C.C(=O)(OCC)C,15.08
c12cc(C(=O)c3ccc4c(C(=O)N(C)C4=O)c3)ccc1C(=O)N(c1ccc(cc1)C1(C)c3c(ccc(c3)C)C(C)(C1)C)C2=O.C(OC(C)=O)C,15.08
c1cc(ccc1C1(c2c(C(C1)(C)C)ccc(C)c2)C)N1C(=O)c2ccc(C(=O)c3cc4C(=O)N(C)C(c4cc3)=O)cc2C1=O.C(C)OC(C)=O,15.08
c1c2c(ccc1C(=O)c1cc3c(cc1)C(=O)N(C3=O)c1ccc(C3(CC(C)(c4ccc(C)cc34)C)C)cc1)C(=O)N(C)C2=O.O=C(OCC)C,15.08
Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7.CCOC(=O)C,6.15
c1cc(ccc1C(c1ccc(Oc2cc3C(=O)N(C(c3cc2)=O)C)cc1)(C)C)Oc1ccc2c(C(=O)N(C2=O)c2cc(ccc2)C)c1.O=C(OCC)C,6.15
c1(C(c2ccc(cc2)Oc2ccc3C(N(C(c3c2)=O)C)=O)(C)C)ccc(Oc2cc3c(cc2)C(N(C3=O)c2cccc(c2)C)=O)cc1.CC(=O)OCC,6.15
c1cc(C(C)(c2ccc(Oc3ccc4c(C(=O)N(C4=O)C)c3)cc2)C)ccc1Oc1cc2C(=O)N(C(c2cc1)=O)c1cccc(c1)C.C(C)OC(C)=O,6.15
Cc1cc(ccc1)N1C(c2c(C1=O)ccc(c2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2C(N(C)C(c2cc1)=O)=O)(C)C)=O.C(C)OC(=O)C,6.15
c1cc(ccc1C(C)(c1ccc(Oc2ccc3C(=O)N(C(=O)c3c2)C)cc1)C)Oc1cc2C(=O)N(C(c2cc1)=O)c1cccc(C)c1.C(OCC)(C)=O,6.15
c1c2c(ccc1Oc1ccc(cc1)C(C)(C)c1ccc(Oc3cc4C(=O)N(C)C(c4cc3)=O)cc1)C(=O)N(c1cc(C)ccc1)C2=O.CCOC(C)=O,6.15
c1cc(N2C(c3c(ccc(Oc4ccc(C(C)(c5ccc(cc5)Oc5ccc6C(=O)N(C)C(=O)c6c5)C)cc4)c3)C2=O)=O)cc(c1)C.O(CC)C(C)=O,6.15
c1cc(Oc2ccc(cc2)C(C)(c2ccc(cc2)Oc2cc3c(C(N(c4cc(ccc4)C)C3=O)=O)cc2)C)cc2c1C(=O)N(C)C2=O.O(CC)C(=O)C,6.15
C/C(C)=C(C)\[Si](C)(C)C.CCC(=O)C,18.07
C[Si](C(C)=C(C)C)(C)C.C(CC)(C)=O,18.07
C(=C([Si](C)(C)C)C)(C)C.O=C(CC)C,18.07
CC(C)=C(C)[Si](C)(C)C.C(=O)(C)CC,18.07
CC([Si](C)(C)C)=C(C)C.C(C)C(C)=O,18.07
C[Si](C)(C(=C(C)C)C)C.C(C)C(=O)C,18.07
CC(C)=C([Si](C)(C)C)C.C(CC)(=O)C,18.07
CC(=C([Si](C)(C)C)C)C.CCC(C)=O,18.07
[Si](C)(C)(C(=C(C)C)C)C.O=C(C)CC,18.07
C[Si](C)(C)OC.CCC(=O)C,21.08
O(C)[Si](C)(C)C.C(C)(CC)=O,21.08
C[Si](OC)(C)C.O=C(C)CC,21.08
O([Si](C)(C)C)C.CC(CC)=O,21.08
[Si](C)(C)(C)OC.C(=O)(CC)C,21.08
C[Si](C)(OC)C.CCC(C)=O,21.08
CO[Si](C)(C)C.C(CC)(=O)C,21.08
CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC.CCC(=O)C,19.32
O(CCCCC)CCCCOCCCCCOC(CCCCCCCCCCCNC)=O.O=C(C)CC,19.32
C(CC)CCOCCCCOCCCCCOC(CCCCCCCCCCCNC)=O.C(C)(=O)CC,19.32
C(COCCCCOCCCCCOC(=O)CCCCCCCCCCCNC)CCC.CC(CC)=O,19.32
C(OCCCCOCCCCC)CCCCOC(CCCCCCCCCCCNC)=O.O=C(CC)C,19.32
C(COCCCCCOC(CCCCCCCCCCCNC)=O)CCOCCCCC.CC(=O)CC,19.32
C(CCOCCCCOCCCCC)CCOC(CCCCCCCCCCCNC)=O.C(C)C(C)=O,19.32
O(CCCCC)CCCCOCCCCCOC(=O)CCCCCCCCCCCNC.C(CC)(=O)C,19.32
O(CCCCOCCCCCOC(CCCCCCCCCCCNC)=O)CCCCC.C(=O)(CC)C,19.32
CCC(C)C#N.CCC(=O)C,0.3
